Targeton Name,Gene,Screen ID,Hdr Vector Lot,HDR_nanodrop (ng/ul),HDR_A260/A280,HDR_A260/A230,Qubit(ng/ul),HDR_actual_DNA,gRNA Vector Lot,gRNA_nanodrop (ng/ul),gRNA_A260/A280,gRNA_A260/A230,gRNA_Qubit (ng/ul),gRNA_actual_DNA,Per_Million_TotalDNA,D4R1 Mapped Reads,D4R2 Mapped Reads,D4R3 Mapped Reads,Average_mapped_reads,Comment,Average_TransfectionEfficency_GFP,Average_Cell_Count,Average_Total_Cells,%_Surviving_Cells,Estimated_Edited_Cells,%_Successful_Edited_Cells
NBXL,SMC1A,NBXL_2_scr161,NBXL_hdr467,2694,2.004,2.658,324,1.804008909,NBXL_gRNAvec457,909.3,1.922,2.298,625,5.155064335,0.347953662,34.2,33.7,33.8,33.9,,52.75,4230000,33840000,169.2,11471760,57.3588
NLVE,SMC1A,NLVE_1_scr151,NLVE_hdr468,1208.4,2.023,2.698,396,4.915590864,NLVE_gRNAvec452,566.3,1.904,2.245,740,9.800459121,0.735802499,24,39.6,38.5,34.03333333,,,3463333.333,27706666.67,138.5333333,9429502.221,47.14751111
NQBU,SMC1A,NQBU_4_scr165,NQBU_hdr469,2985.1,1.984,2.651,366,1.839134367,NQBU_gRNAvec458,1003.8,1.92,2.305,610,4.557680813,0.319840759,33.8,34,31.2,33,,53.95,7246666.667,57973333.33,289.8666667,19131200,95.656
NUIB,SMC1A,NUIB_3_scr166,NUIB_hdr470,1362.4,1.94,2.258,173,1.904726952,NUIB_gRNAvec453,977.45,1.93,2.311,730,5.60130953,0.375301824,39.8,38.5,40.1,39.46666667,,45.8,4403333.333,35226666.67,176.1333333,13902791.11,69.51395556
OLYL,ATRX,OLYL_2_scr239,OLYL_hdr444,2293.4,2.006,2.666,248,1.622045871,OLYL_gRNAvec730,795.2,1.908,2.161,545,5.140216298,0.338113108,21.8,22.4,22.2,22.13333333,,72.55,,,,,
OYGN,DHX37,OYGN_1_scr152,OYGN_hdr453,3844,1.974,2.622,395,1.541363163,OYGN_gRNAvec102,1037.5,1.914,2.215,625,4.518072289,0.302971773,43.8,47.9,47.3,46.33333333,,,5085000,40680000,203.4,18848400,94.24199999
OYPK,SETD2,OYPK_2_scr181,OYPK_hdr445,1132.2,2.005,2.685,365,4.835718071,OYPK_gRNAvec629,886.1,1.904,2.291,530,4.485949667,0.466083387,38.2,39.9,39.7,39.26666667,,64.8,3775000,30200000,151,11858533.33,59.29266667
PBTD,EIF4A3,PBTD_2_scr185,PBTD_hdr543,981.1,1.988,2.686,406,6.207318316,PBTD_gRNAvec103,1281.6,1.942,2.319,730,4.272003745,0.523966103,,,,,,47.45,590333.3333,4722666.667,23.61333333,,
PIMY,KDM6A,PIMY_1_scr139,PIMY_hdr446,1847.9,1.982,2.578,266,2.159207749,PIMY_gRNAvec631,1514.5,1.988,2.341,760,3.763618356,0.296141305,24.4,24.6,26.4,25.13333333,,,4978333.333,39826666.67,199.1333333,10009768.89,50.04884444
PSYW,SMC1A,PSYW_1_scr158,PSYW_hdr472,1839.1,1.971,2.621,402,3.278777663,PSYW_gRNAvec454,1122.2,1.929,2.255,1010,6.750133666,0.501445566,40.5,42.4,41.5,41.46666667,,,5435000,43480000,217.4,18029706.67,90.14853334
