Hdr Vector Lot,Date Maveqc,Pass Fail,Gini Coefficient,Total Reads,Accepted Reads,% Reference Reads,% PAM Reads,% Unmapped Reads,% Library Reads,% Correct Size Insert,Library Coverage,Library Size,% Missing Library Sequence,Evidence For Contamination
JSRH_hdr422,02/05/2024,Fail,0.333,45765137,39920726,0,10.8,50.6,38.6,85,7002,2201,0,No
JSRH_hdr422,04/06/2024,Pass,0.329,35626597,30725437,0,13.9,35.9,50.2,94.2,7008,2201,0,No
JZEC_hdr437,28/05/2024,Pass,0.295,27311425,24247996,0.3,8.1,39.9,51.8,90.6,9796,1281,0.1,No
JZEC_hdr437,04/06/2024,Pass,0.301,21713936,18882137,0.3,8.6,34.8,56.3,97.1,8301,1281,0.1,No
KBBU_hdr769,14/02/2025,Pass,0.215,11898343,10191099,0.8,7.6,24.7,66.9,98.6,5354,1274,0,No
KBFN_hdr770,14/02/2025,Pass,0.309,11858770,10405179,0.8,12.4,27.7,59.2,98.8,3046,2021,0,No
KDXU_hdr772,14/02/2025,Pass,0.232,11893282,9461914,0.3,10.4,20.8,68.4,98.6,4126,1569,0,No
KDYH_hdr825,05/03/2025,Pass,0.153,11833071,9870972,1.4,10.4,20.7,67.6,98.9,5735,1163,0.1,No
KISE_hdr137,28/05/2024,Pass,0.381,23972384,21733235,1,2.6,32,64.4,93.5,7185,1948,0.6,No
KJQT_hdr466,01/07/2024,Pass,0.135,13989147,11268340,0.1,2.3,32.2,65.5,99.2,7136,1034,0,No
KMMD_hdr773,14/02/2025,Pass,0.304,11779316,8912896,0,15,14.6,70.4,98.7,3078,2039,0,No
KOSA_hdr559,09/09/2024,Pass,0.157,9546935,7477814,0,5.2,20.7,74.1,97.9,3265,1696,0,No
KOSA_hdr559,09/09/2024,Pass,0.157,9310754,7114808,0,5.2,21.4,73.4,96.5,3078,1696,0,No
KOSA_hdr560,09/09/2024,Pass,0.158,11206563,9266355,0,5.1,24,70.9,97.8,3875,1696,0,No
KOSA_hdr560,09/09/2024,Pass,0.158,10805346,8747837,0,5,24.6,70.3,96.7,3628,1696,0,No
KSIT_hdr774,14/02/2025,Pass,0.103,11901283,10489800,0.4,2,28.9,68.7,97.4,18530,389,0,No
KTGN_hdr690,19/12/2024,Pass,0.138,38684713,33425220,3.4,3.5,31.4,61.6,97.9,14673,1404,0.1,Yes
KTGN_hdr690,19/12/2024,Pass,0.139,34573224,29590199,3.4,3.5,31.1,61.9,98.9,13049,1404,0.1,Yes
KVDT_hdr683,19/12/2024,Pass,0.214,22516390,19464324,6.4,3.3,35.6,54.7,98,5395,1972,0,Yes
KVDT_hdr683,19/12/2024,Pass,0.214,25988711,22649879,6.1,3.2,38.3,52.4,95.7,6019,1972,0,Yes
KYDS_hdr626,19/12/2024,Pass,0.27,22876856,20261706,1.3,12,29.4,57.3,97.2,10607,1095,0,No
KYDS_hdr626,19/12/2024,Pass,0.271,22688912,19791727,1.3,12.1,29.1,57.6,98.5,10403,1095,0,No
KYIX_hdr578,25/09/2024,Pass,0.248,7416405,5190435,0,6.9,23.6,69.4,97.6,2373,1518,0,No
KYIX_hdr578,25/09/2024,Pass,0.25,6712542,4376059,0,7,23.8,69.2,99,1993,1518,0,No
KYRT_hdr421,02/05/2024,Fail,0.256,33031958,29505618,0.1,7.5,50.9,41.5,85.6,8299,1474,0,No
KYRT_hdr827,05/03/2025,Pass,0.228,11722258,9691911,1.6,9.5,24.1,64.8,99.1,4262,1474,0,No
LBUL_hdr775,14/02/2025,Pass,0.212,11766151,9572937,0.2,9.8,18.2,71.8,98.3,4787,1436,0,No
LEWP_hdr479,11/07/2024,Pass,0.139,25251306,22576419,0,1.4,18.9,79.8,99.2,9357,1924,0,No
LEWP_hdr479,11/07/2024,Pass,0.139,26710760,22043087,0,1.3,23,75.7,98.6,8671,1924,0,No
LFLB_hdr697,19/12/2024,Pass,0.272,24781845,21265524,0,10.5,29.1,60.4,98.3,7586,1693,0,Yes
LFLB_hdr697,19/12/2024,Pass,0.273,28230244,23916013,0,10.5,28.8,60.6,99,8565,1693,0,Yes
LKHB_hdr598,30/09/2024,Pass,0.215,4514048,3190168,0.1,7,0.2,92.7,97.2,1319,2240,0,No
LKHB_hdr598,30/09/2024,Pass,0.218,4519385,3056816,0.1,6.6,7,86.3,98.9,1177,2240,0,No
LLXA_hdr581,25/09/2024,Pass,0.215,6865589,5384078,0,5.9,19.3,74.8,97,5901,682,0.1,No
LLXA_hdr581,25/09/2024,Pass,0.217,6165621,4503845,0,6,19.6,74.3,98.6,4907,682,0.1,No
LSNC_hdr684,19/12/2024,Fail,0.152,8860913,5786572,0.1,1.4,64.3,34.2,99.5,1229,1608,0,Yes
LSNC_hdr684,19/12/2024,Fail,0.152,10752109,7239338,0.1,1.4,65.2,33.3,98.7,1500,1608,0,Yes
LSNC_hdr684,10/02/2025,Fail,0.153,6778817,4330887,0.1,1.2,68.3,30.3,98.6,816,1608,0.1,No
LUSO_hdr583,25/09/2024,Pass,0.268,5721569,4632741,0.1,7.4,24.4,68.1,98.5,4231,746,0,No
LUSO_hdr583,25/09/2024,Pass,0.271,5166856,3913542,0.1,7.5,23.7,68.7,99.1,3603,746,0,No
LVVW_hdr795,27/02/2025,Pass,0.2,11801423,9126952,0.2,9.5,21.5,68.8,99.2,3116,2015,0,No
LYIV_hdr696,19/12/2024,Pass,0.155,21484543,18009878,0,2.9,29.2,68,98.9,9277,1319,0.1,Yes
